[0312/004556.601:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0312/130244.523:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131258.142:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131258.466:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131303.156:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131303.489:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131308.184:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131308.508:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131313.208:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131313.578:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131318.222:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131318.585:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131323.243:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131323.603:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131328.259:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131328.620:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131333.270:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131333.632:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131338.292:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131338.640:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131343.307:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131343.652:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131348.322:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131348.670:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131353.329:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131353.679:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131358.341:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0312/131358.688:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
